Date,Slot,Req
17/05/2025,17:00,15.05
17/05/2025,17:15,15.05
11/05/2025,17:30,21.66
11/05/2025,17:45,21.66
12/05/2025,17:30,23.57
12/05/2025,17:45,23.57
13/05/2025,17:30,23.59
13/05/2025,17:45,23.59
14/05/2025,17:30,22.88
14/05/2025,17:45,22.88
15/05/2025,17:30,22.95
15/05/2025,17:45,22.95
16/05/2025,17:30,18.38
16/05/2025,17:45,18.38
17/05/2025,17:30,15.05
17/05/2025,17:45,15.05
11/05/2025,18:00,17.43
11/05/2025,18:15,17.43
12/05/2025,18:00,16.77
12/05/2025,18:15,16.77
13/05/2025,18:00,16.8
13/05/2025,18:15,16.8
14/05/2025,18:00,16.29
14/05/2025,18:15,16.29
15/05/2025,18:00,16.36
15/05/2025,18:15,16.36
16/05/2025,18:00,15.1
16/05/2025,18:15,15.1
17/05/2025,18:00,12.33
17/05/2025,18:15,12.33
11/05/2025,18:30,17.43
11/05/2025,18:45,17.43
12/05/2025,18:30,16.77
12/05/2025,18:45,16.77
13/05/2025,18:30,16.8
13/05/2025,18:45,16.8
14/05/2025,18:30,16.29
14/05/2025,18:45,16.29
15/05/2025,18:30,16.36
15/05/2025,18:45,16.36
16/05/2025,18:30,15.1
16/05/2025,18:45,15.1
17/05/2025,18:30,12.33
17/05/2025,18:45,12.33
11/05/2025,19:00,14.62
11/05/2025,19:15,14.62
12/05/2025,19:00,15.18
12/05/2025,19:15,15.18
13/05/2025,19:00,15.19
13/05/2025,19:15,15.19
14/05/2025,19:00,14.73
14/05/2025,19:15,14.73
15/05/2025,19:00,14.8
15/05/2025,19:15,14.8
16/05/2025,19:00,11.9
16/05/2025,19:15,11.9
17/05/2025,19:00,9.77
17/05/2025,19:15,9.77
11/05/2025,19:30,14.62
11/05/2025,19:45,14.62
12/05/2025,19:30,15.18
12/05/2025,19:45,15.18
13/05/2025,19:30,15.19
13/05/2025,19:45,15.19
14/05/2025,19:30,14.73
14/05/2025,19:45,14.73
15/05/2025,19:30,14.8
15/05/2025,19:45,14.8
16/05/2025,19:30,11.9
16/05/2025,19:45,11.9
17/05/2025,19:30,9.77
17/05/2025,19:45,9.77
11/05/2025,20:00,7.94
11/05/2025,20:15,7.94
12/05/2025,20:00,10.1
12/05/2025,20:15,10.1
13/05/2025,20:00,10.11
13/05/2025,20:15,10.11
14/05/2025,20:00,9.79
14/05/2025,20:15,9.79
15/05/2025,20:00,9.83
15/05/2025,20:15,9.83
16/05/2025,20:00,7.77
16/05/2025,20:15,7.77
17/05/2025,20:00,6.38
17/05/2025,20:15,6.38
11/05/2025,20:30,7.94
11/05/2025,20:45,7.94
12/05/2025,20:30,10.1
12/05/2025,20:45,10.1
13/05/2025,20:30,10.11
13/05/2025,20:45,10.11
14/05/2025,20:30,9.79
14/05/2025,20:45,9.79
15/05/2025,20:30,9.83
15/05/2025,20:45,9.83
16/05/2025,20:30,7.77
16/05/2025,20:45,7.77
17/05/2025,20:30,6.38
17/05/2025,20:45,6.38
11/05/2025,21:00,1.02
11/05/2025,21:15,1.02
12/05/2025,21:00,0.42
12/05/2025,21:15,0.42
13/05/2025,21:00,0.42
13/05/2025,21:15,0.42
14/05/2025,21:00,0.4
14/05/2025,21:15,0.4
15/05/2025,21:00,0.39
15/05/2025,21:15,0.39
16/05/2025,21:00,0.52
16/05/2025,21:15,0.52
17/05/2025,21:00,0.43
17/05/2025,21:15,0.43
11/05/2025,21:30,1.02
11/05/2025,21:45,1.02
12/05/2025,21:30,0.42
12/05/2025,21:45,0.42
13/05/2025,21:30,0.42
13/05/2025,21:45,0.42
14/05/2025,21:30,0.4
14/05/2025,21:45,0.4
15/05/2025,21:30,0.39
15/05/2025,21:45,0.39
16/05/2025,21:30,0.52
16/05/2025,21:45,0.52
17/05/2025,21:30,0.43
17/05/2025,21:45,0.43
11/05/2025,22:00,0
11/05/2025,22:15,0
12/05/2025,22:00,0
12/05/2025,22:15,0
13/05/2025,22:00,0
13/05/2025,22:15,0
14/05/2025,22:00,0
14/05/2025,22:15,0
15/05/2025,22:00,0
15/05/2025,22:15,0
16/05/2025,22:00,0
16/05/2025,22:15,0
17/05/2025,22:00,0
17/05/2025,22:15,0
11/05/2025,22:30,0
11/05/2025,22:45,0
12/05/2025,22:30,0
12/05/2025,22:45,0
13/05/2025,22:30,0
13/05/2025,22:45,0
14/05/2025,22:30,0
14/05/2025,22:45,0
15/05/2025,22:30,0
15/05/2025,22:45,0
16/05/2025,22:30,0
16/05/2025,22:45,0
17/05/2025,22:30,0
17/05/2025,22:45,0
11/05/2025,23:00,0
11/05/2025,23:15,0
12/05/2025,23:00,0
12/05/2025,23:15,0
13/05/2025,23:00,0
13/05/2025,23:15,0
14/05/2025,23:00,0
14/05/2025,23:15,0
15/05/2025,23:00,0
15/05/2025,23:15,0
16/05/2025,23:00,0
16/05/2025,23:15,0
17/05/2025,23:00,0
17/05/2025,23:15,0
11/05/2025,23:30,0
11/05/2025,23:45,0
12/05/2025,23:30,0
12/05/2025,23:45,0
13/05/2025,23:30,0
13/05/2025,23:45,0
14/05/2025,23:30,0
14/05/2025,23:45,0
15/05/2025,23:30,0
15/05/2025,23:45,0
16/05/2025,23:30,0
16/05/2025,23:45,0
17/05/2025,23:30,0
17/05/2025,23:45,0
